,CaO,MnO,FeO,MgO
8 / 1 . ,2.208,0.985,36.545,3.588
8 / 2 . ,2.121,0.853,33.701,2.903
8 / 3 . ,2.286,0.967,36.223,3.639
8 / 4 . ,2.311,0.948,36.231,3.608
8 / 5 . ,2.224,0.953,36.411,3.635
8 / 6 . ,2.462,0.969,36.239,3.503
8 / 7 . ,2.053,0.816,32.272,2.828
8 / 8 . ,1.885,1.004,36.391,3.426
8 / 9 . ,0.015,0.026,0.724,0.004
8 / 10 . ,2.524,0.93,35.933,3.501
8 / 11 . ,2.675,0.916,35.664,3.562
8 / 12 . ,2.51,0.949,36.056,3.619
8 / 13 . ,2.336,0.939,35.941,3.674
8 / 14 . ,2.555,0.949,36.038,3.637
8 / 15 . ,2.468,0.922,35.974,3.643
8 / 16 . ,2.396,0.88,36.072,3.694
8 / 17 . ,2.314,0.908,35.925,3.706
8 / 18 . ,2.583,0.925,35.964,3.705
8 / 19 . ,2.59,0.882,35.933,3.71
8 / 20 . ,2.324,0.933,35.751,2.893
8 / 21 . ,2.678,0.845,35.003,3.436
8 / 22 . ,2.998,0.874,35.553,3.663
8 / 23 . ,2.648,0.751,32.425,2.911
8 / 24 . ,2.578,0.842,36.022,3.809
8 / 25 . ,2.621,0.843,35.954,3.713
8 / 26 . ,2.493,0.836,35.908,3.754
8 / 27 . ,2.489,0.823,35.938,3.823
8 / 28 . ,2.504,0.84,35.66,3.731
8 / 29 . ,0.01,0.017,0.681,-0.002
8 / 30 . ,2.443,0.856,35.902,3.669
8 / 31 . ,2.72,0.816,35.805,3.715
8 / 32 . ,2.387,0.78,35.826,3.589
8 / 33 . ,2.616,0.803,35.702,3.781
8 / 34 . ,2.784,0.815,35.763,3.781
8 / 35 . ,2.802,0.771,35.736,3.795
8 / 36 . ,2.581,0.762,35.75,3.766
8 / 37 . ,2.547,0.786,36.602,3.288
8 / 38 . ,2.683,0.786,35.755,3.76
8 / 39 . ,3.017,0.8,35.527,3.665
8 / 40 . ,3.072,0.787,35.438,3.646
8 / 41 . ,2.899,0.776,35.759,3.65
8 / 42 . ,2.822,0.842,36.022,3.617
8 / 43 . ,0.05,0.035,0.956,0.017
8 / 44 . ,2.536,0.878,36.163,3.511
8 / 45 . ,2.305,0.925,36.478,3.507
8 / 46 . ,2.149,0.932,36.512,3.515
8 / 47 . ,2.085,0.963,36.482,3.479
8 / 48 . ,2.15,0.96,36.579,3.483
8 / 49 . ,2.206,0.918,36.728,3.475
8 / 50 . ,2.184,0.929,36.653,3.508
8 / 51 . ,2.28,0.905,36.404,3.465
8 / 52 . ,2.349,0.868,36.376,3.497
8 / 53 . ,2.044,0.894,36.85,3.557
8 / 54 . ,2.035,0.893,36.636,3.584
8 / 55 . ,1.949,0.876,36.897,3.568
8 / 56 . ,1.791,0.918,37.071,3.56
8 / 57 . ,1.787,0.979,36.969,3.439
8 / 58 . ,2.097,0.981,36.986,3.312
8 / 59 . ,2.113,1.016,36.975,3.16
8 / 60 . ,1.708,1.078,37.432,3.106
